DataType,Date,Station id,Value,Station name,Latitude,Longitude
TMIN,2005-08-24,GHCND:USC00161292,72.0,"BURAS, LA US",29.34139,-89.51583
TMIN,2005-08-24,GHCND:USC00163433,77.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-08-24,GHCND:USC00163433,77.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-08-24,GHCND:USC00169013,73.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
TMIN,2005-08-24,GHCND:USC00163433,77.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-08-24,GHCND:USC00165926,75.0,"MARRERO 9 SSW, LA US",29.7852,-90.1158
TMIN,2005-08-24,GHCND:USC00163433,77.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-08-24,GHCND:USW00012884,79.0,"BOOTHVILLE ASOS, LA US",29.333,-89.4075
TMIN,2005-08-24,GHCND:USC00166394,75.0,"MORGAN CITY, LA US",29.6833,-91.1761
TMIN,2005-08-25,GHCND:USC00166394,77.0,"MORGAN CITY, LA US",29.6833,-91.1761
TMIN,2005-08-25,GHCND:USC00165926,77.0,"MARRERO 9 SSW, LA US",29.7852,-90.1158
TMIN,2005-08-25,GHCND:USW00012884,78.0,"BOOTHVILLE ASOS, LA US",29.333,-89.4075
TMIN,2005-08-25,GHCND:USC00161292,80.0,"BURAS, LA US",29.34139,-89.51583
TMIN,2005-08-25,GHCND:USC00163433,78.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-08-25,GHCND:USC00163433,78.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-08-25,GHCND:USC00163433,78.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-08-25,GHCND:USC00163433,78.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-08-25,GHCND:USC00169013,75.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
TMIN,2005-08-26,GHCND:USC00169013,76.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
TMIN,2005-08-26,GHCND:USC00166394,78.0,"MORGAN CITY, LA US",29.6833,-91.1761
TMIN,2005-08-26,GHCND:USC00163433,78.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-08-26,GHCND:USC00163433,78.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-08-26,GHCND:USC00161292,79.0,"BURAS, LA US",29.34139,-89.51583
TMIN,2005-08-26,GHCND:USW00012884,80.0,"BOOTHVILLE ASOS, LA US",29.333,-89.4075
TMIN,2005-08-26,GHCND:USC00165926,78.0,"MARRERO 9 SSW, LA US",29.7852,-90.1158
TMIN,2005-08-26,GHCND:USC00163433,78.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-08-26,GHCND:USC00163433,78.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-08-27,GHCND:USC00163433,78.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-08-27,GHCND:USC00165926,75.0,"MARRERO 9 SSW, LA US",29.7852,-90.1158
TMIN,2005-08-27,GHCND:USW00012884,85.0,"BOOTHVILLE ASOS, LA US",29.333,-89.4075
TMIN,2005-08-27,GHCND:USC00166394,78.0,"MORGAN CITY, LA US",29.6833,-91.1761
TMIN,2005-08-27,GHCND:USC00163433,78.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-08-27,GHCND:USC00163433,78.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-08-27,GHCND:USC00169013,77.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
TMIN,2005-08-27,GHCND:USC00163433,78.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-08-28,GHCND:USW00012884,75.0,"BOOTHVILLE ASOS, LA US",29.333,-89.4075
TMIN,2005-08-28,GHCND:USC00163433,79.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-08-28,GHCND:USC00163433,79.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-08-28,GHCND:USC00163433,79.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-08-28,GHCND:USC00166394,79.0,"MORGAN CITY, LA US",29.6833,-91.1761
TMIN,2005-08-28,GHCND:USC00163433,79.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-08-28,GHCND:USC00169013,77.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
TMIN,2005-08-29,GHCND:USC00169013,75.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
TMIN,2005-08-29,GHCND:USC00166394,71.0,"MORGAN CITY, LA US",29.6833,-91.1761
TMIN,2005-08-30,GHCND:USC00166394,73.0,"MORGAN CITY, LA US",29.6833,-91.1761
TMIN,2005-08-30,GHCND:USC00169013,77.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
TMIN,2005-08-30,GHCND:USC00163433,86.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-08-30,GHCND:USC00163433,86.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-08-30,GHCND:USC00163433,86.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-08-30,GHCND:USC00163433,86.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-08-31,GHCND:USC00163433,77.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-08-31,GHCND:USC00166394,75.0,"MORGAN CITY, LA US",29.6833,-91.1761
TMIN,2005-08-31,GHCND:USC00169013,78.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
TMIN,2005-08-31,GHCND:USC00163433,77.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-08-31,GHCND:USC00163433,77.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-08-31,GHCND:USC00163433,77.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-09-01,GHCND:USC00163433,80.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-09-01,GHCND:USC00166394,75.0,"MORGAN CITY, LA US",29.6833,-91.1761
TMIN,2005-09-01,GHCND:USC00163433,80.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-09-01,GHCND:USC00169013,77.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
TMIN,2005-09-01,GHCND:USC00163433,80.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-09-01,GHCND:USC00163433,80.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-09-02,GHCND:USC00166394,75.0,"MORGAN CITY, LA US",29.6833,-91.1761
TMIN,2005-09-02,GHCND:USC00163433,77.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-09-02,GHCND:USC00169013,74.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
TMIN,2005-09-02,GHCND:USC00163433,77.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-09-02,GHCND:USC00163433,77.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-09-02,GHCND:USC00163433,77.0,"GALLIANO, LA US",29.4631,-90.3072
TMIN,2005-09-03,GHCND:USC00169013,72.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
TMIN,2005-09-03,GHCND:USC00166394,73.0,"MORGAN CITY, LA US",29.6833,-91.1761
TMIN,2005-09-04,GHCND:USC00169013,71.0,"THIBODAUX 4 SE, LA US",29.7547,-90.7748
TMIN,2005-09-04,GHCND:USC00166394,73.0,"MORGAN CITY, LA US",29.6833,-91.1761
